id,url,final_url,label,label_name,brand,brand_normalized,page_type,screenshot_type,relative_path,title,timestamp,viewport_width,viewport_height,status_code,redirect_count,page_load_time_ms,file_size_bytes,image_width,image_height,image_hash,is_blank,is_captcha,is_error_page,source
f8165bc381d6aeb9,http://www.ub.edu.bi,http://www.ub.edu.bi/,0,legitimate,Bienvenue｜Université du Burundi,bienvenue_universit_du_burundi,homepage,desktop,legitimate/bienvenue_universit_du_burundi/homepage/4b8df4c1/desktop.png,Bienvenue｜Université du Burundi,2026-06-27T11:10:57.916Z,1920,1080,200,3,25007,1552776,1920,1080,0a5a6b23130b23d4,false,false,false,csv
85908c0dcfe2696a,http://www.ub.edu.bi,http://www.ub.edu.bi/,0,legitimate,Bienvenue｜Université du Burundi,bienvenue_universit_du_burundi,homepage,mobile,legitimate/bienvenue_universit_du_burundi/homepage/4b8df4c1/mobile.png,Bienvenue｜Université du Burundi,2026-06-27T11:10:57.916Z,1170,2532,200,3,25007,1152141,1170,2532,312105494575aaa4,false,false,false,csv
2abf5478650da811,http://www.ub.edu.bi,http://www.ub.edu.bi/,0,legitimate,Bienvenue｜Université du Burundi,bienvenue_universit_du_burundi,homepage,fullpage,legitimate/bienvenue_universit_du_burundi/homepage/4b8df4c1/fullpage.png,Bienvenue｜Université du Burundi,2026-06-27T11:10:57.916Z,1920,5031,200,3,25007,3837518,1920,5031,58225c95cccc2b07,false,false,false,csv
a58f2802be770b78,http://www.ub.edu.bi,http://www.ub.edu.bi/,0,legitimate,Bienvenue｜Université du Burundi,bienvenue_universit_du_burundi,homepage,above_fold,legitimate/bienvenue_universit_du_burundi/homepage/4b8df4c1/above_fold.png,Bienvenue｜Université du Burundi,2026-06-27T11:10:57.916Z,1920,1080,200,3,25007,1675128,1920,1080,0a4a1b1f371b0bd4,false,false,false,csv
2084d5343185c53e,https://www.cticm.com,https://www.cticm.com/,0,legitimate,CTICM,cticm,homepage,desktop,legitimate/cticm/homepage/34108be0/desktop.png,Le CTICM | Centre Technique Industriel de la Construction métallique,2026-06-27T11:12:30.380Z,1920,1080,200,1,11556,223281,1920,1080,b6eb696969696393,false,false,false,csv
e8616ff65ee5ede2,https://www.cticm.com,https://www.cticm.com/,0,legitimate,CTICM,cticm,homepage,mobile,legitimate/cticm/homepage/34108be0/mobile.png,Le CTICM | Centre Technique Industriel de la Construction métallique,2026-06-27T11:12:30.380Z,1170,2532,200,1,11556,209890,1170,2532,8eea6e0e060e0fac,false,false,false,csv
8cfe6cdd3a046466,https://www.cticm.com,https://www.cticm.com/,0,legitimate,CTICM,cticm,homepage,fullpage,legitimate/cticm/homepage/34108be0/fullpage.png,Le CTICM | Centre Technique Industriel de la Construction métallique,2026-06-27T11:12:30.380Z,1920,5034,200,1,11556,1721177,1920,5034,738b1ed35a1ee969,false,false,false,csv
cb36e57bfed183e8,https://www.cticm.com,https://www.cticm.com/,0,legitimate,CTICM,cticm,homepage,above_fold,legitimate/cticm/homepage/34108be0/above_fold.png,Le CTICM | Centre Technique Industriel de la Construction métallique,2026-06-27T11:12:30.380Z,1920,1080,200,1,11556,226598,1920,1080,b6eb696969697393,false,false,false,csv
4f36be590bd17e33,http://www.profactor.at/index.php?id=848&L=1,https://www.profactor.at/?id=848&L=1,0,legitimate,PROFACTOR,profactor,homepage,desktop,legitimate/profactor/homepage/0ff23f55/desktop.png,PROFACTOR,2026-06-27T11:13:56.387Z,1920,1080,200,2,10297,732511,1920,1080,160e6533232b0b13,false,false,false,csv
7c542d5a7997b830,http://www.profactor.at/index.php?id=848&L=1,https://www.profactor.at/?id=848&L=1,0,legitimate,PROFACTOR,profactor,homepage,mobile,legitimate/profactor/homepage/0ff23f55/mobile.png,PROFACTOR,2026-06-27T11:13:56.387Z,1170,2532,200,2,10297,377856,1170,2532,0f330d070f651943,false,false,false,csv
